id,run,cached,step,type,request_id,ip_addr,full_url,url,documentURL,is_secure,method,host,frame_id,responseCode,request_type,load_ms,ttfb_ms,load_start,load_start_float,bytesIn,objectSize,objectSizeUncompressed,expires,cacheControl,contentType,contentEncoding,socket,protocol,dns_start,dns_end,connect_start,connect_end,ssl_start,ssl_end,initiator,initiator_line,initiator_column,initiator_function,initiator_type,priority,initial_priority,bytesOut,score_cache,score_cdn,score_gzip,score_cookies,score_keep-alive,score_compress,dns_ms,connect_ms,ssl_ms,gzip_total,gzip_save,image_total,image_save,cache_time,cdn_provider,created,netlog_id,final_base_page,is_base_page,load_end,ttfb_start,ttfb_end,download_start,download_end,download_ms,all_start,all_end,all_ms,index,number,cpu.EvaluateScript,cpu.v8.compile,cpu.FunctionCall,cpuTime,renderBlocking,socket_group,http2_stream_id,http2_stream_dependency,http2_stream_weight,http2_stream_exclusive,tls_version,tls_resumed,tls_next_proto,tls_cipher_suite,server_port,
875313,1,0,Step_1,3,25512.28,185.199.110.153,https://gitechnolo.github.io/biotechproject/lang/common.json,/biotechproject/lang/common.json,,1,GET,gitechnolo.github.io,745B8A4DD3BFF997CD6BEDC194B0F8FD,200,Fetch,420.00,415.00,"3,101.00","3,101.00",1077,1077,2909,"Fri, 03 Apr 2026 20:41:07 GMT",max-age=600,application/json,gzip,149,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://gitechnolo.github.io/biotechproject/Biotech-file/biotech.min.js,37,57,loadTranslation,script,High,High,1927,0,100,100,0,100,-1,-1.00,-1.00,-1.00,1077,0,,,600.00,Fastly,3099,249,0,0,"3,521.00","3,101.00","3,516.00","3,516.00","3,521.00",5.00,"3,101.00","3,521.00",420.00,10,11,,,,,,https://gitechnolo.github.io <https://gitechnolo.github.io same_site>,21,19,220,1,,,,,443,
875313,1,0,Step_1,3,25512.29,185.199.110.153,https://gitechnolo.github.io/biotechproject/Biotech-file/images/background_night.avif,/biotechproject/Biotech-file/images/background_night.avif,,1,GET,gitechnolo.github.io,745B8A4DD3BFF997CD6BEDC194B0F8FD,200,Image,785.00,419.00,"3,128.00","3,128.00",69859,69859,69859,"Fri, 03 Apr 2026 20:41:07 GMT",max-age=600,image/avif,,149,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://gitechnolo.github.io/biotechproject/Biotech-file/biotech.min.css,,,,parser,High,Low,2233,0,100,-1,0,100,100,-1.00,-1.00,-1.00,,,0,69859,600.00,Fastly,3105,255,0,0,"3,913.00","3,128.00","3,547.00","3,547.00","3,913.00",366.00,"3,128.00","3,913.00",785.00,11,12,,,,,,https://gitechnolo.github.io <https://gitechnolo.github.io same_site>,23,21,147,1,,,,,443,
875313,1,0,Step_1,3,25512.30,185.199.110.153,https://gitechnolo.github.io/biotechproject/lang/home.json,/biotechproject/lang/home.json,,1,GET,gitechnolo.github.io,745B8A4DD3BFF997CD6BEDC194B0F8FD,200,Fetch,451.00,422.00,"3,527.00","3,527.00",5530,5530,13539,"Fri, 03 Apr 2026 20:41:07 GMT",max-age=600,application/json,gzip,149,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://gitechnolo.github.io/biotechproject/Biotech-file/biotech.min.js,37,57,loadTranslation,script,High,High,1921,0,100,100,0,100,-1,-1.00,-1.00,-1.00,5530,0,,,600.00,Fastly,3525,261,0,0,"3,978.00","3,527.00","3,949.00","3,949.00","3,978.00",29.00,"3,527.00","3,978.00",451.00,12,13,,,,,,https://gitechnolo.github.io <https://gitechnolo.github.io same_site>,25,23,220,1,,,,,443,
875313,1,0,Step_1,3,25512.31,185.199.110.153,https://gitechnolo.github.io/biotechproject/Biotech-file/images/favicon-biotech.png,/biotechproject/Biotech-file/images/favicon-biotech.png,,1,GET,gitechnolo.github.io,745B8A4DD3BFF997CD6BEDC194B0F8FD,200,Other,448.00,418.00,"3,923.00","3,923.00",5554,5554,5554,"Fri, 03 Apr 2026 20:41:08 GMT",max-age=600,image/png,,149,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,,,,,other,High,High,2188,0,100,-1,0,100,100,-1.00,-1.00,-1.00,,,0,5554,600.00,Fastly,3920,267,0,0,"4,371.00","3,923.00","4,341.00","4,341.00","4,371.00",30.00,"3,923.00","4,371.00",448.00,13,14,,,,,,https://gitechnolo.github.io <https://gitechnolo.github.io same_site>,27,25,220,1,,,,,443,
875313,2,0,Step_1,3,1473DE56649493FC7F24F9465372AA7E,185.199.111.153,https://gitechnolo.github.io/biotechproject/index.html,/biotechproject/index.html,,1,GET,gitechnolo.github.io,F9A29597F056088BF1D203EB84C6CD45,200,Document,360.00,314.00,966.00,966.00,8610,8610,29343,"Fri, 03 Apr 2026 20:32:31 GMT",max-age=600,text/html,gzip,147,HTTP/2,0.00,312.00,312.00,615.00,615.00,965.00,https://gitechnolo.github.io/biotechproject/index.html,,,,script,Highest,Highest,2218,-1,100,100,0,100,-1,312.00,303.00,350.00,8610,0,,,,Fastly,10,140,1,1,"1,326.00",966.00,"1,280.00","1,280.00","1,326.00",46.00,0.00,"1,326.00","1,325.00",0,1,1,1,3,5.00,,https://gitechnolo.github.io <https://gitechnolo.github.io same_site>,1,0,256,1,TLS 1.3,False,h2,4865,443,
875313,2,0,Step_1,3,26266.2,185.199.111.153,https://gitechnolo.github.io/biotechproject/Biotech-file/SansationBold.woff2,/biotechproject/Biotech-file/SansationBold.woff2,,1,GET,gitechnolo.github.io,F9A29597F056088BF1D203EB84C6CD45,200,Font,413.00,308.00,"1,313.00","1,313.00",18696,18696,18696,"Fri, 03 Apr 2026 20:32:21 GMT",max-age=600,font/woff2,,147,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://gitechnolo.github.io/biotechproject/index.html,0,,,parser,High,High,2083,0,100,-1,0,100,-1,-1.00,-1.00,-1.00,,,,,567.00,Fastly,1310,169,0,0,"1,726.00","1,313.00","1,621.00","1,621.00","1,726.00",105.00,"1,313.00","1,726.00",413.00,1,2,,,,,non_blocking,https://gitechnolo.github.io <https://gitechnolo.github.io same_site>,3,1,220,1,,,,,443,
875313,2,0,Step_1,3,26266.3,185.199.111.153,https://gitechnolo.github.io/biotechproject/Biotech-file/images/biotechlogo.avif,/biotechproject/Biotech-file/images/biotechlogo.avif,,1,GET,gitechnolo.github.io,F9A29597F056088BF1D203EB84C6CD45,200,Image,493.00,428.00,"1,313.00","1,313.00",13970,13970,13970,"Fri, 03 Apr 2026 20:32:21 GMT",max-age=600,image/avif,,147,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://gitechnolo.github.io/biotechproject/index.html,0,,,parser,High,High,2179,0,100,-1,0,100,100,-1.00,-1.00,-1.00,,,0,13970,567.00,Fastly,1312,175,0,0,"1,806.00","1,313.00","1,741.00","1,741.00","1,806.00",65.00,"1,313.00","1,806.00",493.00,2,3,,,,,non_blocking,https://gitechnolo.github.io <https://gitechnolo.github.io same_site>,5,3,220,1,,,,,443,
875313,2,0,Step_1,3,26266.6,185.199.111.153,https://gitechnolo.github.io/biotechproject/Biotech-file/biotech.min.css,/biotechproject/Biotech-file/biotech.min.css,,1,GET,gitechnolo.github.io,F9A29597F056088BF1D203EB84C6CD45,200,Stylesheet,629.00,483.00,"1,324.00","1,324.00",8274,8274,37019,"Fri, 03 Apr 2026 20:32:21 GMT",max-age=600,text/css,gzip,147,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://gitechnolo.github.io/biotechproject/index.html,0,,,parser,Lowest,Lowest,2008,0,100,100,0,100,-1,-1.00,-1.00,-1.00,8274,0,,,567.00,Fastly,1322,188,0,0,"1,953.00","1,324.00","1,807.00","1,807.00","1,953.00",146.00,"1,324.00","1,953.00",629.00,3,4,,,,,non_blocking,https://gitechnolo.github.io <https://gitechnolo.github.io same_site>,7,11,110,1,,,,,443,
875313,2,0,Step_1,3,26266.15,185.199.111.153,https://gitechnolo.github.io/biotechproject/Biotech-file/biotech.min.js,/biotechproject/Biotech-file/biotech.min.js,,1,GET,gitechnolo.github.io,F9A29597F056088BF1D203EB84C6CD45,200,Script,687.00,619.00,"1,335.00","1,335.00",8925,8925,27950,"Fri, 03 Apr 2026 20:32:21 GMT",max-age=600,application/javascript,gzip,147,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://gitechnolo.github.io/biotechproject/index.html,0,,,parser,Low,Low,1912,0,100,100,0,100,-1,-1.00,-1.00,-1.00,8925,0,,,567.00,Fastly,1331,194,0,0,"2,022.00","1,335.00","1,954.00","1,954.00","2,022.00",68.00,"1,335.00","2,022.00",687.00,4,5,9,7,580,596.00,non_blocking,https://gitechnolo.github.io <https://gitechnolo.github.io same_site>,9,5,147,1,,,,,443,
875313,2,0,Step_1,3,26266.16,185.199.111.153,https://gitechnolo.github.io/biotechproject/Biotech-file/biotech-engine.min.js,/biotechproject/Biotech-file/biotech-engine.min.js,,1,GET,gitechnolo.github.io,F9A29597F056088BF1D203EB84C6CD45,200,Script,740.00,688.00,"1,335.00","1,335.00",10561,10561,27676,"Fri, 03 Apr 2026 20:32:21 GMT",max-age=600,application/javascript,gzip,147,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://gitechnolo.github.io/biotechproject/index.html,0,,,parser,Low,Low,1933,0,100,100,0,100,-1,-1.00,-1.00,-1.00,10561,0,,,567.00,Fastly,1332,200,0,0,"2,075.00","1,335.00","2,023.00","2,023.00","2,075.00",52.00,"1,335.00","2,075.00",740.00,5,6,4,2,39,44.00,non_blocking,https://gitechnolo.github.io <https://gitechnolo.github.io same_site>,11,9,147,1,,,,,443,
